MetricTypeText;MetricText;ThresholdText;MetricTypeTextBackup;MetricTextBackup;ThresholdTextBackup;MetricTypeCode;MetricCode;ThresholdCode;MetricTypeCodeBackup;MetricCodeBackup;ThresholdCodeBackup;Runtime;InformednessText;MarkednessText;MatthewsCorrelationText;FScoreText;InformednessCode;MarkednessCode;MatthewsCorrelationCode;FScoreCode;PostCount;PostVersionCount;PostBlockVersionCount;PossibleComparisons;TextBlockVersionCount;PossibleComparisonsText;TruePositivesText;TrueNegativesText;FalsePositivesText;FalseNegativesText;FailuresText;PrecisionText;RecallText;InversePrecisionText;InverseRecallText;FailureRateText;CodeBlockVersionCount;PossibleComparisonsCode;TruePositivesCode;TrueNegativesCode;FalsePositivesCode;FalseNegativesCode;FailuresCode;PrecisionCode;RecallCode;InversePrecisionCode;InverseRecallCode;FailureRateCode
PROFILE;cosineFiveGramNormalizedBool;0.14;PROFILE;cosineTokenNormalizedBool;0.14;SET;tokenDiceNormalized;0.09;SET;tokenDiceNormalized;0.08;1904548443;0.9435413740049503;0.9333024548402038;0.9384079499887663;0.9910112359550562;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;144;7;9;0;0.9921259842519685;0.98989898989899;0.9411764705882353;0.9536423841059603;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
SET;fiveGramDiceNormalized;0.03;PROFILE;cosineTokenNormalizedBool;0.16;SET;tokenJaccardNormalized;0.05;SET;tokenDiceNormalized;0.08;1525615689;0.9391635263599944;0.9443647234678625;0.9417605342453349;0.9915872125630959;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;884;143;8;7;0;0.9910313901345291;0.9921436588103255;0.9533333333333334;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
PROFILE;cosineFiveGramNormalizedBool;0.1;PROFILE;cosineTokenNormalizedBool;0.14;SET;tokenJaccardNormalized;0.06;SET;tokenDiceNormalized;0.08;1947311040;0.9391635263599944;0.9443647234678625;0.9417605342453349;0.9915872125630959;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;884;143;8;7;0;0.9910313901345291;0.9921436588103255;0.9533333333333334;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
PROFILE;cosineFourGramNormalizedBool;0.17;PROFILE;cosineTokenNormalizedBool;0.14;SET;tokenJaccardNormalized;0.05;SET;tokenJaccardNormalized;0.05;1934221477;0.9435413740049503;0.9333024548402038;0.9384079499887663;0.9910112359550562;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;144;7;9;0;0.9921259842519685;0.98989898989899;0.9411764705882353;0.9536423841059603;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
PROFILE;cosineFiveGramNormalizedBool;0.07;PROFILE;cosineTokenNormalizedBool;0.14;SET;tokenJaccardNormalized;0.06;SET;tokenDiceNormalized;0.09;1931086062;0.9391635263599944;0.9443647234678625;0.9417605342453349;0.9915872125630959;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;884;143;8;7;0;0.9910313901345291;0.9921436588103255;0.9533333333333334;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
PROFILE;cosineFourGramNormalizedBool;0.07;PROFILE;cosineTokenNormalizedBool;0.15;SET;tokenJaccardNormalized;0.06;SET;tokenDiceNormalized;0.09;1928557076;0.9314186753480351;0.936576980568012;0.9339942669000277;0.9904655075715086;0.9600973423980221;0.9505943365918583;0.9553340233972901;0.9925742574257427;100;308;2703;9948;1406;5376;883;142;9;8;0;0.9899103139013453;0.9910213243546577;0.9466666666666667;0.9403973509933775;0.0;1297;4572;802;155;5;7;0;0.9938042131350682;0.9913473423980222;0.9567901234567902;0.96875;0.0
SET;fourGramJaccardNormalized;0.03;PROFILE;cosineTokenNormalizedBool;0.16;SET;tokenDiceNormalized;0.12;SET;tokenDiceNormalized;0.1;1539239677;0.9314186753480351;0.936576980568012;0.9339942669000277;0.9904655075715086;0.9600973423980221;0.9505943365918583;0.9553340233972901;0.9925742574257427;100;308;2703;9948;1406;5376;883;142;9;8;0;0.9899103139013453;0.9910213243546577;0.9466666666666667;0.9403973509933775;0.0;1297;4572;802;155;5;7;0;0.9938042131350682;0.9913473423980222;0.9567901234567902;0.96875;0.0
PROFILE;cosineFiveGramNormalizedBool;0.06;PROFILE;cosineTokenNormalizedBool;0.15;SET;tokenDiceNormalized;0.12;SET;tokenDiceNormalized;0.09;1914595605;0.9391635263599944;0.9443647234678625;0.9417605342453349;0.9915872125630959;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;884;143;8;7;0;0.9910313901345291;0.9921436588103255;0.9533333333333334;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
PROFILE;cosineFiveGramNormalizedBool;0.04;PROFILE;cosineTokenNormalizedBool;0.15;SET;tokenDiceNormalized;0.1;SET;tokenDiceNormalized;0.09;1906128816;0.9391635263599944;0.9443647234678625;0.9417605342453349;0.9915872125630959;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;884;143;8;7;0;0.9910313901345291;0.9921436588103255;0.9533333333333334;0.9470198675496688;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
PROFILE;cosineFourGramNormalizedBool;0.17;PROFILE;cosineTokenNormalizedBool;0.19;SET;tokenDiceNormalized;0.09;SET;tokenDiceNormalized;0.08;1904463977;0.9435413740049503;0.9333024548402038;0.9384079499887663;0.9910112359550562;0.967583436341162;0.9580063334710174;0.9627829766756806;0.9938118811881188;100;308;2703;9948;1406;5376;882;144;7;9;0;0.9921259842519685;0.98989898989899;0.9411764705882353;0.9536423841059603;0.0;1297;4572;803;156;4;6;0;0.9950433705080545;0.992583436341162;0.9629629629629629;0.975;0.0
