"PostId","PostTypeId","ParentId"
50565394,1,50565394
50656158,1,50656158
42735012,2,42734806
39566132,2,39566059
37019100,2,37019028
16890937,2,11285961
38053467,2,38053170
27620743,2,27620640
6609501,2,6608947
42508796,2,42508609
26751515,2,26751324
41810833,2,41806495
51782773,2,51782292
36592899,2,36592112
39566120,2,39566059
26931031,2,26745300
46114159,2,46113955
41868880,2,41868851
22718362,2,22718178
31319309,2,31319114
34118810,2,34118638
46111437,2,46110259
28827139,2,1492554
46872340,2,46872219
29052123,2,29052041
37482458,2,37481637
48381786,2,48381417
18313987,2,6608947
28481374,2,23201134
