"PostId","PostTypeId","ParentId"
33571047,1,33571047
18075690,1,18075690
16015079,1,16015079
11135166,1,11135166
15854600,1,15854600
13103070,1,13103070
43471149,1,43471149
30522938,1,30522938
15397520,2,7455399
7872257,2,7872153
10218309,2,4645960
15883129,2,8036039
42917868,2,42917828
11240534,2,11240426
12070851,2,5309029
35448266,2,35448222
13252285,2,13251984
16940867,2,16128608
23687507,2,23672424
33343334,2,33342895
7954238,2,7954207
45031194,2,4645960
47406718,2,7455399
18096221,2,12265207
20475123,2,5309029
31848070,2,31847926
17117023,2,16765527
35431231,2,35414141
22541070,2,22540901
30268735,2,30267336
29797557,2,28667110
