"PostId","PostTypeId","ParentId"
40621108,1,40621108
3489567,1,3489567
12854857,2,12854532
20514236,2,20512881
14525049,2,14523348
43384598,2,43372311
20064345,2,20040546
34627805,2,7542950
993159,2,990976
37705692,2,9314927
19858196,2,19858007
20429274,2,20429086
30176865,2,30176339
26105739,2,26105366
14558779,2,14441357
24814509,2,6309225
22533008,2,20436450
24665476,2,4049103
26733916,2,26731552
20303841,2,20300766
32383572,2,23124853
20513028,2,20512881
24665183,2,24664065
35981229,2,35980639
