"PostId","PostTypeId","ParentId"
38878150,1,38878150
33610139,1,33610139
33685838,1,33685838
33379121,1,33379121
36502340,1,36502340
37236807,1,37236807
36440230,1,36440230
45468343,1,45468343
40947129,1,40947129
40435268,1,40435268
37849228,1,37849228
52092638,1,52092638
49371478,1,49371478
34156254,1,34156254
51082078,1,51082078
34160276,1,34160276
47235034,1,47235034
48519478,1,48519478
35290349,1,35290349
39980750,1,39980750
36254450,1,36254450
33379202,2,33378117
50454532,2,50454434
43993775,2,43992330
34354387,2,34336099
36440844,2,36440230
33766878,2,33610139
41553586,2,41553306
