"PostId","PostTypeId","ParentId"
23467654,1,23467654
5182772,1,5182772
7121529,1,7121529
6820715,1,6820715
927656,1,927656
6909299,1,6909299
29305354,1,29305354
22036457,1,22036457
5650457,1,5650457
46544546,1,46544546
14910087,1,14910087
19289366,1,19289366
32916300,1,32916300
30195487,1,30195487
47990714,1,47990714
38773319,1,38773319
7346268,1,7346268
37973783,1,37973783
25918206,1,25918206
31674527,1,31674527
45563913,1,45563913
39751726,1,39751726
36208283,1,36208283
22743137,1,22743137
26113996,1,26113996
49198452,1,49198452
48817253,1,48817253
19014736,1,19014736
29597596,1,29597596
6820715,1,6820715
38088227,1,38088227
13801429,1,13801429
24494415,1,24494415
25126091,1,25126091
15732953,1,15732953
29540058,1,29540058
46704309,1,46704309
7504371,1,7504371
24449015,1,24449015
39633455,1,39633455
22717439,1,22717439
14604131,1,14604131
20904724,2,20904514
24222823,2,23767065
33489374,2,33476155
20730100,2,20730001
38764639,2,7638677
45176272,2,45176104
22498059,2,22497368
38395799,2,38395095
33527277,2,33526960
36208974,2,36208283
50782839,2,50782827
20413201,2,20413150
7450393,2,7450370
24058399,2,24058318
23141882,2,23141840
50782839,2,50782827
25956932,2,25956012
31275078,2,31274620
42413980,2,42413921
15815687,2,15815610
21053637,2,21053537
26429718,2,26429623
6008762,2,6008678
38208510,2,36628537
3955266,2,3955205
20888053,2,20887920
49067688,2,590163
38905570,2,38904503
31674615,2,31674527
30280250,2,20022354
51130161,2,51130000
18135201,2,18134401
26295310,2,26295180
